"id","name","lon","lat","type"
8573627,"Stettfurt, Lettenstrasse",8.95775,47.52372,"Bus"
8581617,"Stettfurt, Vorstadt",8.95255,47.52755,"Bus"
8507066,"Stettlen",7.52411,46.95682,"Zug"
8589043,"Stettlen, Linde",7.5243,46.95858,"Bus"
8531451,"Stierenberg",7.48704,46.55712,"Sesselbahn"
8577977,"Stierenberg b. Grenchen",7.36868,47.21062,"Bus"
8509304,"Stierva, vischnanca",9.54197,46.6627,"Bus"
8581570,"Stilli, Aarebrücke",8.23163,47.51448,"Bus"
8500566,"Stilli, Villigerstrasse",8.23154,47.51531,"Bus"
8531338,"Stivetta",9.59713,46.75725,"Sesselbahn"
8507260,"Stockhorn",7.53837,46.69349,"Kabinenbahn"
8508495,"Stockhütte (Bergstation)",8.5052,46.94522,"Kabinenbahn"
8530840,"Stoos (Klingenstockbahn)",8.67147,46.97287,"Sesselbahn"
8530393,"Stoos Bergstat. (Luftseilb)",8.66416,46.98218,"Kabinenbahn"
8505091,"Stoos SZ",8.66767,46.97799,"Standseilbahn"
8530391,"Stoos(Sesselbahn Fronalpstock)",8.66262,46.98061,"Sesselbahn"
8506386,"Stoss AR",9.49512,47.36079,"Zug"
8510168,"Stoss AR, Bahnhof",9.49508,47.36089,"Bus"
8509887,"Strada i. E., Cuncalada",10.43208,46.86222,"Bus"
8574737,"Strada i. E., San Niclà",10.42348,46.85838,"Bus"
8509709,"Strada i. E., Sclamischot",10.44526,46.87038,"Bus"
8581094,"Strada i. E., spv. Chaflur",10.43657,46.86325,"Bus"
8509700,"Strada i. E., spv. Seraplana",10.41877,46.84539,"Bus"
8509218,"Strahlgand (Bergst. Oberalp)",8.63729,46.66331,"Sesselbahn"
8506276,"Strahlholz",9.43187,47.36655,"Zug"
8510131,"Strahlholz, Bahnhof",9.43185,47.36643,"Bus"
8531018,"Strelaalp",9.81205,46.80713,"Sesselbahn"
8572703,"Strengelbach, Bifang",7.93267,47.28099,"Bus"
8502393,"Strengelbach, Burgherr",7.93208,47.27564,"Bus"
8572722,"Strengelbach, Gemeindehaus",7.92986,47.27826,"Bus"
8572718,"Strengelbach, Hard",7.92999,47.28628,"Bus"
